,GeoUID,Type,Region Name,Area (sq km),Population,Dwellings,Households,CMA_UID,PR_UID,CSD_UID,CD_UID,v_CA16_2397: Median total income of households in 2015 ($),v_CA16_2345: Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,"v_CA16_5096: Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data",v_CA16_4895: Median value of dwellings ($),v_CA16_4893: Median monthly shelter costs for owned dwellings ($),v_CA16_4900: Median monthly shelter costs for rented dwellings ($),v_CA16_4862: Total - Occupied private dwellings by period of construction - 25% sample data,v_CA16_404: Total private dwellings,"v_CA16_401: Population, 2016",v_CA16_4836: Total - Private households by tenure - 25% sample data,v_CA16_4: 0 to 14 years,v_CA16_1: Age Stats,v_CA16_61: 15 to 64 years,v_CA16_244: 65 years and over,v_CA16_6692: Total - Mobility status 1 year ago - 25% sample data,v_CA16_6719: Total - Mobility status 5 years ago - 25% sample data
43,9330026.00,CT,Vancouver,1.25934,4675.0,1926.0,1760.0,59933,59,5915022,5915,82432.0,3990.0,2415.0,3008054.0,1293.0,1064.0,1770.0,1926.0,4675.0,1765.0,680.0,4675.0,3100.0,890.0,4685.0,4560.0
44,9330027.01,CT,Vancouver,1.27204,4074.0,1561.0,1434.0,59933,59,5915022,5915,85504.0,3415.0,2115.0,3001871.0,1289.0,2099.0,1470.0,1561.0,4074.0,1470.0,545.0,4075.0,2700.0,835.0,4050.0,3975.0
45,9330027.02,CT,Vancouver,1.03066,3787.0,1541.0,1387.0,59933,59,5915022,5915,67456.0,3065.0,1880.0,2307775.0,1477.0,1834.0,1365.0,1541.0,3787.0,1370.0,565.0,3790.0,2540.0,675.0,3550.0,3475.0
46,9330028.00,CT,Vancouver,1.4746,3063.0,1284.0,1163.0,59933,59,5915022,5915,98048.0,2610.0,1695.0,3490719.0,1733.0,1275.0,1155.0,1284.0,3063.0,1155.0,440.0,3060.0,2100.0,520.0,3015.0,2915.0
47,9330029.00,CT,Vancouver,1.50157,6798.0,3011.0,2779.0,59933,59,5915022,5915,83861.0,5500.0,4030.0,1944662.0,1271.0,1359.0,2815.0,3011.0,6798.0,2810.0,990.0,6795.0,4725.0,1075.0,6610.0,6320.0
48,9330030.00,CT,Vancouver,1.45623,6896.0,2772.0,2586.0,59933,59,5915022,5915,89549.0,5745.0,4100.0,1552278.0,1215.0,1364.0,2600.0,2772.0,6896.0,2600.0,1120.0,6900.0,4880.0,895.0,6815.0,6550.0
49,9330031.01,CT,Vancouver,0.89854,6156.0,2805.0,2546.0,59933,59,5915022,5915,86144.0,5180.0,3850.0,2001711.0,1456.0,1248.0,2525.0,2805.0,6156.0,2525.0,960.0,6155.0,4475.0,725.0,6140.0,5935.0
50,9330031.02,CT,Vancouver,0.69343,4621.0,1962.0,1779.0,59933,59,5915022,5915,82816.0,3900.0,2825.0,1296419.0,1402.0,1254.0,1800.0,1962.0,4621.0,1800.0,715.0,4620.0,3325.0,580.0,4445.0,4230.0
51,9330032.00,CT,Vancouver,1.24197,9098.0,3901.0,3619.0,59933,59,5915022,5915,72802.0,7770.0,5740.0,1097960.0,1493.0,1206.0,3615.0,3901.0,9098.0,3615.0,1320.0,9100.0,6755.0,1030.0,8885.0,8500.0
52,9330033.01,CT,Vancouver,0.68227,5187.0,2072.0,1914.0,59933,59,5915022,5915,81636.0,4375.0,3250.0,1201241.0,1456.0,1205.0,1925.0,2072.0,5187.0,1930.0,790.0,5190.0,3765.0,630.0,5345.0,5090.0
